acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.9583294264728863,0.9585261621846989,0.9583333333333334,0.9979166666666668,0.107106956728029,0.05896614772666535,0.9620253164556962,0.95,0.9629629629629629,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [1, 0, 19]]",raw1d,1,0,27075,20.90219690001686,
0.96,0.9581092349385032,0.9586883876357559,0.9583333333333334,0.9974305555555555,0.11989431745666332,0.056428156456032365,0.975609756097561,1.0,0.9487179487179487,0.925,0.95,0.95,0.95,"[[40, 0, 0], [2, 37, 1], [0, 1, 19]]",spec2d,1,0,32227,9.661389000015333,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9984722222222221,0.1215766478473958,0.07553166105145424,0.9487179487179487,0.925,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [1, 0, 19]]",raw1d_wide,1,0,99795,45.362865700008115,
0.95,0.9543012886666138,0.9629629629629629,0.9499999999999998,0.9972916666666666,0.14263516106458185,0.08648740080459527,0.9473684210526315,0.9,0.9411764705882353,1.0,0.9743589743589743,0.95,0.95,"[[36, 4, 0], [0, 40, 0], [0, 1, 19]]",spec2d_wide,1,0,97775,14.036811800004216,
0.94,0.9420329670329671,0.9359250398724083,0.9500000000000001,0.9980555555555556,0.09876115984285272,0.061139034355172386,0.9487179487179487,0.925,0.925,0.925,0.9523809523809523,1.0,1.0,"[[37, 3, 0], [1, 37, 2], [0, 0, 20]]",late,1,0,98571,16356.666952900006,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9997222222222222,0.026970681313509156,0.014945338242341611,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",gated,1,0,98698,20055.79016559999,
0.97,0.9708783575177523,0.9672466422466423,0.975,0.9991666666666666,0.07312653995580308,0.041910624720618433,0.9620253164556962,0.95,0.975,0.975,0.975609756097561,1.0,1.0,"[[38, 1, 1], [1, 39, 0], [0, 0, 20]]",attention,1,0,98544,45.34447369998088,
0.91,0.9159932659932659,0.9277777777777777,0.9166666666666666,0.9869444444444445,0.4036401892473417,0.15901774351722825,0.8888888888888888,0.8,0.9090909090909091,1.0,0.95,0.95,0.95,"[[32, 7, 1], [0, 40, 0], [0, 1, 19]]",early,1,0,97507,41.193124099983834,
0.96,0.9583294264728863,0.9585261621846989,0.9583333333333334,0.9977777777777778,0.10343955451868127,0.05546790095192234,0.9620253164556962,0.95,0.9629629629629629,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [1, 0, 19]]",score,1,0,59302,0.036729799991007894,0.9500000000000001
0.64,0.6885789108011329,0.6792113621381914,0.7000000000000001,0.7752083333333334,0.6156453595402815,0.42345261467836415,0.5679012345679012,0.575,0.5454545454545454,0.525,0.9523809523809523,1.0,1.0,"[[23, 16, 1], [18, 21, 1], [0, 0, 20]]",logvar,1,0,3,0.022519899997860193,
0.95,0.9498906079074855,0.9499791536376901,0.9499999999999998,0.997013888888889,0.11737347488915542,0.06505785814181114,0.9629629629629629,0.975,0.9367088607594937,0.925,0.95,0.95,0.95,"[[39, 1, 0], [2, 37, 1], [0, 1, 19]]",shallow,1,0,21,0.016281899996101856,
