acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9969444444444444,0.975,0.975,0.95,0.95,0.95,0.95,0.95,"[[39, 1, 0], [1, 38, 1], [0, 1, 19]]",raw1d,1,3,27075,35.00945589999901,
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.9967361111111112,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",spec2d,1,3,32227,5.773549900011858,
0.98,0.975,0.975,0.975,0.9991666666666666,1.0,1.0,0.975,0.975,0.95,0.95,0.95,"[[40, 0, 0], [0, 39, 1], [0, 1, 19]]",raw1d_wide,1,3,99795,160.5779257999966,
0.95,0.9503663003663002,0.9442583732057416,0.9583333333333334,0.9962499999999999,0.9487179487179487,0.925,0.95,0.95,0.9523809523809523,1.0,1.0,"[[37, 2, 1], [1, 38, 1], [0, 0, 20]]",spec2d_wide,1,3,97775,18.81172530000913,
0.96,0.9550851000599402,0.9483916578296218,0.9666666666666667,0.9945138888888888,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9302325581395349,1.0,1.0,"[[40, 0, 0], [1, 36, 3], [0, 0, 20]]",late,1,3,98571,29.676750200000242,
0.97,0.9609247802018887,0.9767441860465116,0.9500000000000001,0.9995138888888889,1.0,1.0,0.963855421686747,1.0,0.918918918918919,0.85,0.85,"[[40, 0, 0], [0, 40, 0], [0, 3, 17]]",gated,1,3,98698,41.58932389999973,
0.97,0.9665598791477835,0.9666562434855118,0.9666666666666667,0.9984027777777778,0.9876543209876543,1.0,0.9620253164556962,0.95,0.95,0.95,0.95,"[[40, 0, 0], [1, 38, 1], [0, 1, 19]]",attention,1,3,98544,53.38754880000488,
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.9955555555555556,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",early,1,3,97507,16.506133399991086,
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,0.9972222222222222,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",score,1,3,59302,0.07849210000131279,0.8250000000000001
0.55,0.6069389912413169,0.5923325499412456,0.625,0.7396527777777777,0.475,0.475,0.4155844155844156,0.4,0.9302325581395349,1.0,1.0,"[[19, 21, 0], [21, 16, 3], [0, 0, 20]]",logvar,1,3,3,0.024041399999987334,
0.96,0.9547236801481939,0.9515873015873016,0.9583333333333334,0.9979166666666667,0.9873417721518988,0.975,0.95,0.95,0.926829268292683,0.95,0.95,"[[39, 1, 0], [0, 38, 2], [0, 1, 19]]",shallow,1,3,21,0.019391199995880015,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9949305555555555,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",raw1d,1,4,27075,42.4623614000011,
0.96,0.9624406457739791,0.9670731707317074,0.9583333333333334,0.9958333333333332,0.9629629629629629,0.975,0.95,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [0, 1, 19]]",spec2d,1,4,32227,6.704114199994365,
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9969444444444445,0.9873417721518988,0.975,0.975609756097561,1.0,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [0, 40, 0], [0, 1, 19]]",raw1d_wide,1,4,99795,99.72129849999328,
0.94,0.9459749552772809,0.9565217391304347,0.9416666666666668,0.9990277777777777,0.9302325581395349,1.0,0.9333333333333333,0.875,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [5, 35, 0], [1, 0, 19]]",spec2d_wide,1,4,97775,11.595190799998818,
