acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.91,0.9044947121034078,0.8980769230769231,0.9249999999999999,0.9840972222222222,0.925,0.925,0.918918918918919,0.85,0.8695652173913043,1.0,1.0,"[[37, 0, 3], [3, 34, 3], [0, 0, 20]]",early,1,2,97507,24.946612100000493,
0.95,0.9505638394527282,0.9453067257945307,0.9583333333333334,0.9933333333333333,0.9382716049382716,0.95,0.961038961038961,0.925,0.9523809523809523,1.0,1.0,"[[38, 0, 2], [3, 37, 0], [0, 0, 20]]",score,1,2,59302,0.08607950000441633,0.0
0.67,0.716520810543314,0.7164998957681884,0.7166666666666667,0.7916666666666666,0.6172839506172839,0.625,0.5822784810126582,0.575,0.95,0.95,0.95,"[[25, 15, 0], [16, 23, 1], [0, 1, 19]]",logvar,1,2,3,0.022182499997143168,
0.95,0.954210193099082,0.9589430894308943,0.9499999999999998,0.9964583333333333,0.95,0.95,0.9382716049382716,0.95,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [2, 38, 0], [0, 1, 19]]",shallow,1,2,21,0.02413140000135172,
0.93,0.928066402749947,0.945027195027195,0.9166666666666666,0.9922916666666667,0.9285714285714286,0.975,0.9367088607594937,0.925,0.918918918918919,0.85,0.85,"[[39, 1, 0], [3, 37, 0], [2, 1, 17]]",raw1d,1,3,27075,34.68382629999542,
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.9990277777777777,0.975,0.975,0.9629629629629629,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [0, 1, 19]]",spec2d,1,3,32227,17.818699900002684,
0.95,0.9495293110825845,0.9595238095238096,0.9416666666666665,0.9981249999999999,0.9512195121951219,0.975,0.95,0.95,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [2, 38, 0], [1, 1, 18]]",raw1d_wide,1,3,99795,110.18372119999549,
0.98,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9995833333333333,0.975,0.975,0.975,0.975,1.0,1.0,1.0,"[[39, 1, 0], [1, 39, 0], [0, 0, 20]]",spec2d_wide,1,3,97775,31.33794759999728,
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,0.9995833333333333,0.9743589743589743,0.95,0.9876543209876543,1.0,0.975609756097561,1.0,1.0,"[[38, 1, 1], [0, 40, 0], [0, 0, 20]]",late,1,3,98571,56.253012299996044,
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9982638888888888,0.975,0.975,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [0, 40, 0], [1, 0, 19]]",gated,1,3,98698,66.28744919999735,
