acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9958333333333332,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",gated,1,2,budget,small,73673.0,86.77402419999999
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,0.9968055555555555,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",attention,1,2,budget,small,73421.0,105.71313910000026
0.95,0.9505638394527282,0.9453067257945307,0.9583333333333334,0.9933333333333333,0.9382716049382716,0.95,0.961038961038961,0.925,0.9523809523809523,1.0,1.0,"[[38, 0, 2], [3, 37, 0], [0, 0, 20]]",score,1,2,budget,small,,0.0
0.51,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7799999999999999,0.4,0.4,0.4,0.4,0.95,0.95,0.95,"[[16, 24, 0], [23, 16, 1], [1, 0, 19]]",logvar,1,2,budget,small,3.0,0.0
0.94,0.9416666666666668,0.9416666666666668,0.9416666666666668,0.9963194444444444,0.95,0.95,0.925,0.925,0.95,0.95,0.95,"[[38, 2, 0], [2, 37, 1], [0, 1, 19]]",shallow,1,2,budget,small,21.0,0.0
0.93,0.928066402749947,0.945027195027195,0.9166666666666666,0.9922916666666667,0.9285714285714286,0.975,0.9367088607594937,0.925,0.918918918918919,0.85,0.85,"[[39, 1, 0], [3, 37, 0], [2, 1, 17]]",raw1d,1,3,budget,small,27075.0,65.2277185999992
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.9990277777777777,0.975,0.975,0.9629629629629629,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [0, 1, 19]]",spec2d,1,3,budget,small,32227.0,31.345015600003535
0.95,0.9495293110825845,0.9595238095238096,0.9416666666666665,0.9981249999999999,0.9512195121951219,0.975,0.95,0.95,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [2, 38, 0], [1, 1, 18]]",raw1d_wide,1,3,budget,small,99795.0,198.70753430000332
0.98,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9995833333333333,0.975,0.975,0.975,0.975,1.0,1.0,1.0,"[[39, 1, 0], [1, 39, 0], [0, 0, 20]]",spec2d_wide,1,3,budget,small,97775.0,63.255793799995445
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9997222222222222,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,1,3,budget,small,73611.0,114.03686790000938
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9986111111111112,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",gated,1,3,budget,small,73673.0,163.7025166000094
