acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.92,0.9211290001987678,0.9317315026697178,0.9166666666666666,0.9977083333333333,0.9333333333333333,0.875,0.9069767441860465,0.975,0.9230769230769231,0.9,0.9,"[[35, 5, 0], [0, 39, 1], [0, 2, 18]]",raw1d,0,4,stft,coarse,27075.0,120.20179239999561
0.92,0.92470212965569,0.9375375375375375,0.9166666666666666,0.9876388888888888,0.9090909090909091,0.875,0.9176470588235294,0.975,0.9473684210526315,0.9,0.9,"[[35, 5, 0], [1, 39, 0], [1, 1, 18]]",spec2d,0,4,stft,coarse,32227.0,21.296087499998976
0.94,0.9375624375624376,0.9445773524720892,0.9333333333333332,0.9986805555555556,0.961038961038961,0.925,0.9285714285714286,0.975,0.9230769230769231,0.9,0.9,"[[37, 3, 0], [0, 39, 1], [0, 2, 18]]",raw1d_wide,0,4,stft,coarse,99795.0,225.7812297999917
0.96,0.9624302225928242,0.9590948917007968,0.9666666666666667,0.9955555555555556,0.9487179487179487,0.925,0.9629629629629629,0.975,0.975609756097561,1.0,1.0,"[[37, 2, 1], [1, 39, 0], [0, 0, 20]]",spec2d_wide,0,4,stft,coarse,97775.0,37.76817239999946
0.96,0.962622743110548,0.9603174603174603,0.9666666666666667,0.9986111111111112,0.961038961038961,0.925,0.9512195121951219,0.975,0.975609756097561,1.0,1.0,"[[37, 3, 0], [0, 39, 1], [0, 0, 20]]",late,0,4,stft,coarse,98571.0,93.0624611999956
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9997222222222222,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,1.0,1.0,"[[38, 2, 0], [0, 40, 0], [0, 0, 20]]",gated,0,4,stft,coarse,98698.0,99.40839509999205
0.89,0.8848409530265372,0.8861111111111111,0.9,0.9844444444444443,0.8732394366197183,0.775,0.9176470588235294,0.975,0.8636363636363636,0.95,0.95,"[[31, 5, 4], [0, 39, 1], [0, 1, 19]]",attention,0,4,stft,coarse,98544.0,76.31649559999641
0.92,0.9211290001987678,0.9317315026697178,0.9166666666666666,0.9977083333333333,0.9333333333333333,0.875,0.9069767441860465,0.975,0.9230769230769231,0.9,0.9,"[[35, 5, 0], [0, 39, 1], [0, 2, 18]]",score,0,4,stft,coarse,,0.0
0.58,0.6373148317949345,0.627104377104377,0.65,0.7639583333333334,0.5121951219512195,0.525,0.4473684210526316,0.425,0.9523809523809523,1.0,1.0,"[[21, 19, 0], [21, 17, 2], [0, 0, 20]]",logvar,0,4,stft,coarse,3.0,0.0
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9977777777777778,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",shallow,0,4,stft,coarse,21.0,0.0
0.96,0.9583294264728863,0.9585261621846989,0.9583333333333334,0.9979166666666668,0.9620253164556962,0.95,0.9629629629629629,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [1, 0, 19]]",raw1d,1,0,stft,coarse,27075.0,74.64841159999196
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.992986111111111,0.975,0.975,0.9629629629629629,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [0, 1, 19]]",spec2d,1,0,stft,coarse,32227.0,35.12862160000077
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9983333333333334,0.9487179487179487,0.925,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [1, 0, 19]]",raw1d_wide,1,0,stft,coarse,99795.0,216.6998622999963
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.9975,0.975,0.975,0.9629629629629629,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [0, 1, 19]]",spec2d_wide,1,0,stft,coarse,97775.0,58.60865660000127
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.9990277777777777,0.975,0.975,0.9629629629629629,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [0, 1, 19]]",late,1,0,stft,coarse,98571.0,117.66191510000499
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9991666666666666,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",gated,1,0,stft,coarse,98698.0,105.19024720000743
0.98,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9991666666666665,0.975,0.975,0.975,0.975,1.0,1.0,1.0,"[[39, 1, 0], [1, 39, 0], [0, 0, 20]]",attention,1,0,stft,coarse,98544.0,140.38577999999688
0.97,0.9709772311398327,0.9678668215253582,0.975,0.9982638888888888,0.9743589743589743,0.95,0.9629629629629629,0.975,0.975609756097561,1.0,1.0,"[[38, 2, 0], [0, 39, 1], [0, 0, 20]]",score,1,0,stft,coarse,,0.0
0.64,0.6835884572182681,0.6712913868269118,0.7000000000000001,0.7700694444444444,0.5679012345679012,0.575,0.5526315789473685,0.525,0.9302325581395349,1.0,1.0,"[[23, 15, 2], [18, 21, 1], [0, 0, 20]]",logvar,1,0,stft,coarse,3.0,0.0
0.95,0.9498906079074855,0.9499791536376901,0.9499999999999998,0.9968750000000001,0.9629629629629629,0.975,0.9367088607594937,0.925,0.95,0.95,0.95,"[[39, 1, 0], [2, 37, 1], [0, 1, 19]]",shallow,1,0,stft,coarse,21.0,0.0
0.95,0.9463918825234764,0.9406487232574189,0.9583333333333334,0.9995138888888889,0.975609756097561,1.0,0.9333333333333333,0.875,0.9302325581395349,1.0,1.0,"[[40, 0, 0], [2, 35, 3], [0, 0, 20]]",raw1d,1,1,stft,coarse,27075.0,70.05522629999905
0.92,0.9073911087641066,0.9014844804318489,0.9250000000000002,0.9850694444444444,0.9487179487179487,0.925,0.9473684210526315,0.9,0.8260869565217391,0.95,0.95,"[[37, 0, 3], [0, 36, 4], [1, 0, 19]]",spec2d,1,1,stft,coarse,32227.0,28.47058800001105
0.95,0.9407407407407407,0.9333333333333332,0.9583333333333334,0.9993055555555556,1.0,1.0,0.9333333333333333,0.875,0.8888888888888888,1.0,1.0,"[[40, 0, 0], [0, 35, 5], [0, 0, 20]]",raw1d_wide,1,1,stft,coarse,99795.0,195.18373359998805
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9893055555555555,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",spec2d_wide,1,1,stft,coarse,97775.0,70.85910200000217
0.95,0.9498565691336776,0.9464411557434813,0.9583333333333334,0.9998611111111111,0.963855421686747,1.0,0.9333333333333333,0.875,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [3, 35, 2], [0, 0, 20]]",late,1,1,stft,coarse,98571.0,129.95996140000352
