metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected,bayes_p_b_better_r05,bayes_p_equiv_r05,bayes_p_a_better_r05
log_loss,logvar,shallow,24,0.6091908031346828,0.6204340294424108,-0.011243226307728088,0.6230943202972412,0.8997168266972172,0.9061192321119421,0.8388197422027588,0.11703514188483038,0.1624730660520605,,,,0.4609039745337778,0.17584238816039088,0.3632536373058314,1.0,1.0,1.0,1.0,False,False,0.33229822916474827,0.42040477267761844,0.24729699815763329
log_loss,logvar,spec2d,24,0.6091908031346828,0.8200949359184252,-0.21090413278374262,0.5456695556640625,0.3129191321908377,0.3443188473937402,0.8388197422027588,0.45598288353520283,0.5612448936887896,,,,0.8199728054392851,0.04488005208202278,0.13514714247869214,1.0,1.0,1.0,1.0,False,False,0.7803833045681173,0.11233111886116141,0.10728557657072126
log_loss,logvar,spec2d_wide,24,0.6091908031346828,0.8606414843870059,-0.25145068125232317,0.22918963432312012,0.1971078274308031,0.22636618620565704,0.30745625495910645,0.478409967359159,0.5758896166774964,,,,0.8830792211949329,0.034400286091302315,0.08252049271376481,1.0,1.0,1.0,1.0,False,False,0.8508531293667191,0.08667744716200186,0.062469423471279054
log_loss,raw1d,raw1d_wide,24,0.8045084007032539,0.8692208724639906,-0.0647124717607367,0.6033114194869995,0.6564046555227487,0.6770828704879077,0.8388197422027588,0.23684573844926216,0.31077745880600816,,,,0.6208595645888164,0.09867959017429523,0.28046084523688836,1.0,1.0,1.0,1.0,False,False,0.5403657103174696,0.24339800374924148,0.21623628593328892
log_loss,raw1d,score,24,0.8045084007032539,0.5010496217774681,0.3034587789257858,0.0001270771026611328,0.007075695717718237,0.010974771622960022,0.0002771615982055664,0.42651784928236675,0.4793720648096107,,,,0.002233979413811565,0.003318217656462674,0.9944478029297258,0.006735086441040039,0.3823910700919183,0.5939815148128631,0.015243887901306152,True,False,0.0011057349277004893,0.009588238199421673,0.9893060268728778
log_loss,raw1d,shallow,24,0.8045084007032539,0.6204340294424108,0.18407437126084306,0.1355280876159668,0.17615530944989521,0.20444067582123784,0.5412561893463135,0.3422052397613,0.41012289086182663,,,,0.06772478548583483,0.045291339316363644,0.8869838751978015,1.0,1.0,1.0,1.0,False,False,0.04459106208380449,0.1153836168248934,0.8400253210913021
log_loss,raw1d,spec2d,24,0.8045084007032539,0.8200949359184252,-0.015586535215171457,0.7257407903671265,0.9462236809754059,0.9496694952060065,0.5412561893463135,0.28963138908850766,0.40733442169539086,,,,0.49238071766355196,0.06880092980730074,0.4388183525291473,1.0,1.0,1.0,1.0,False,False,0.44081902570085907,0.17081607717559322,0.3883648971235477
log_loss,raw1d,spec2d_wide,24,0.8045084007032539,0.8606414843870059,-0.05613308368375203,0.6431422233581543,0.7779454272281484,0.7918335997082826,0.30745625495910645,0.2919991451141206,0.3933042793905245,,,,0.5720581269657428,0.07678176521116925,0.351160107823088,1.0,1.0,1.0,1.0,False,False,0.512300541941467,0.19033059989584666,0.2973688581626863
log_loss,raw1d_wide,score,24,0.8692208724639906,0.5010496217774681,0.3681712506865226,9.083747863769531e-05,0.006952564910762151,0.01079966390568842,0.006610751152038574,0.5170944629564361,0.5810573999062728,,,,0.0023783065216397927,0.0026717297826599484,0.9949499636957002,0.004905223846435547,0.3823910700919183,0.5939815148128631,0.35036981105804443,True,False,0.0013329390388898644,0.007390736332568371,0.9912763246285418
log_loss,raw1d_wide,shallow,24,0.8692208724639906,0.6204340294424108,0.24878684302157975,0.07872927188873291,0.1542113358785139,0.18121795658200324,0.5412561893463135,0.4512351916596378,0.5381873246559709,,,,0.06254143919800156,0.031761750525182264,0.9056968102768161,1.0,1.0,1.0,1.0,False,False,0.04503824149256811,0.08053038724169526,0.8744313712657367
log_loss,raw1d_wide,spec2d,24,0.8692208724639906,0.8200949359184252,0.04912593654556524,0.746925950050354,0.8125260051190638,0.8243399971912513,0.8388197422027588,0.29462927841596875,0.40007365164483766,,,,0.36937060335206484,0.07469471566886476,0.5559346809790704,1.0,1.0,1.0,1.0,False,False,0.3164509313756991,0.18523355843534717,0.4983155101889537
log_loss,raw1d_wide,spec2d_wide,24,0.8692208724639906,0.8606414843870059,0.008579388076984662,0.899570107460022,0.9679437967129855,0.9699997976270577,0.8388197422027588,0.26176194798579505,0.37050456687917743,,,,0.4467619596448001,0.07456941985481141,0.47866862050038855,1.0,1.0,1.0,1.0,False,False,0.391976055925708,0.18491402702465765,0.4231099170496344
log_loss,score,shallow,24,0.5010496217774681,0.6204340294424108,-0.1193844076649428,0.1779801845550537,0.3436851206619335,0.3749572401075525,0.30745625495910645,0.2674280604260407,0.3310132241023327,,,,0.7854294627159408,0.0792614079808156,0.13530912930324357,1.0,1.0,1.0,1.0,False,False,0.7101930833346494,0.198120244790346,0.09168667187500461
log_loss,score,spec2d,24,0.5010496217774681,0.8200949359184252,-0.3190453141409573,0.019441962242126465,0.04601872932643837,0.06052703705861619,0.15158963203430176,0.5003982937552347,0.5782899066470454,,,,0.9699248123835891,0.012604183397174899,0.017471004219236027,0.8748883008956909,1.0,1.0,1.0,False,False,0.9557413175738511,0.032848333151196375,0.011410349274952566
log_loss,score,spec2d_wide,24,0.5010496217774681,0.8606414843870059,-0.35959186260953785,0.0006498098373413086,0.015264078000914654,0.022166330625778854,0.006610751152038574,0.5240631164078864,0.5947039807594923,,,,0.9894486096184524,0.005067539299279264,0.005483851082268357,0.03314030170440674,0.7784679780466474,1.0,0.35036981105804443,True,False,0.9830869875309179,0.013609285329415409,0.0033037271396666474
log_loss,shallow,spec2d,24,0.6204340294424108,0.8200949359184252,-0.19966090647601453,0.3305051326751709,0.38476136817143164,0.4155191648507854,0.5412561893463135,0.46982530553014806,0.5858616719192257,,,,0.7832828050732842,0.04681788120010941,0.1698993137266064,1.0,1.0,1.0,1.0,False,False,0.7434045295882046,0.1169251523417339,0.13967031807006153
log_loss,shallow,spec2d_wide,24,0.6204340294424108,0.8606414843870059,-0.24020745494459508,0.22918963432312012,0.2843135352105404,0.3156047039514164,0.5412561893463135,0.5029124041415783,0.6157449159157782,,,,0.8373182279173876,0.03911259448468801,0.12356917759792435,1.0,1.0,1.0,1.0,False,False,0.8028370205506672,0.09797972073316805,0.09918325871616476
log_loss,spec2d,spec2d_wide,24,0.8200949359184252,0.8606414843870059,-0.04054654846858056,0.4389305114746094,0.7952182285062862,0.8080766061405414,0.30745625495910645,0.22568602442053504,0.3052039480990662,,,,0.5523466451103425,0.09835196420034759,0.34930139068930993,1.0,1.0,1.0,1.0,False,False,0.47585692379104844,0.24247153627689383,0.2816715399320578
