acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,sensitivity,specificity,false_alarms,fa_per_hour_subsampled,model,fold,test_subjects,n_test,n_test_ictal,params,sec,best_epoch,epochs_run,val_f1,blend_w
0.8933333333333333,0.8059229442208166,0.8800140745953553,0.7666666666666666,0.922469135802469,0.3161387217877813,0.1781231201419,0.9361702127659576,0.9777777777777776,0.6756756756756757,0.5555555555555556,0.5555555555555556,"[[176, 4], [20, 25]]",0.5555555555555556,0.9777777777777776,4,0.1052631578947368,raw1d,2,chb03,225,45,28850,725.1,14,27,0.7045880294773346,
0.8177777777777778,0.6971537375660681,0.7121446664790319,0.6861111111111111,0.8504938271604938,0.5554702479125461,0.2627063854897548,0.888283378746594,0.9055555555555556,0.5060240963855421,0.4666666666666667,0.4666666666666667,"[[163, 17], [24, 21]]",0.4666666666666667,0.9055555555555556,17,0.4473684210526316,spec2d,2,chb03,225,45,34546,548.8,14,27,0.6650691762037957,
0.8311111111111111,0.6001683501683501,0.8587962962962963,0.5861111111111111,0.93,0.6148397693325048,0.2935896936533211,0.904040404040404,0.9944444444444444,0.2962962962962963,0.1777777777777777,0.1777777777777777,"[[179, 1], [37, 8]]",0.1777777777777777,0.9944444444444444,1,0.0263157894736842,raw1d_wide,2,chb03,225,45,103712,4543.8,10,23,0.7400431831686068,
0.8311111111111111,0.6239444053483463,0.8020682148040639,0.6027777777777777,0.7532098765432099,0.8764320791409556,0.3122048146580894,0.903061224489796,0.9833333333333332,0.3448275862068966,0.2222222222222222,0.2222222222222222,"[[177, 3], [35, 10]]",0.2222222222222222,0.9833333333333332,3,0.0789473684210526,spec2d_wide,2,chb03,225,45,102236,1155.9,9,22,0.6922399091742553,
0.8888888888888888,0.7807957601028799,0.9181594267801164,0.7305555555555556,0.9132098765432098,0.3947847223549843,0.2116533244342046,0.9347258485639688,0.9944444444444444,0.6268656716417911,0.4666666666666667,0.4666666666666667,"[[179, 1], [24, 21]]",0.4666666666666667,0.9944444444444444,1,0.0263157894736842,late,2,chb03,225,45,102768,2136.3,7,20,0.7227330840920063,
0.8488888888888889,0.690333549222798,0.8219213081246806,0.6555555555555556,0.9206172839506174,0.6124979507907503,0.2615139321439735,0.911917098445596,0.9777777777777776,0.46875,0.3333333333333333,0.3333333333333333,"[[176, 4], [30, 15]]",0.3333333333333333,0.9777777777777776,4,0.1052631578947368,gated,2,chb03,225,45,102921,2840.8,13,26,0.7223125437121928,
0.8533333333333334,0.7302060244903892,0.793691080493111,0.7,0.8918518518518518,0.3584609019703679,0.2274988583567843,0.9124668435013262,0.9555555555555556,0.547945205479452,0.4444444444444444,0.4444444444444444,"[[172, 8], [25, 20]]",0.4444444444444444,0.9555555555555556,8,0.2105263157894736,attention,2,chb03,225,45,102767,2137.0,4,20,0.7358546936698278,
0.8622222222222222,0.7465571745212747,0.8140862944162437,0.7138888888888889,0.8469135802469135,0.8139393449407514,0.2482821936306282,0.9177718832891246,0.9611111111111112,0.5753424657534246,0.4666666666666667,0.4666666666666667,"[[173, 7], [24, 21]]",0.4666666666666667,0.9611111111111112,7,0.1842105263157894,early,2,chb03,225,45,102547,3145.4,29,42,0.6454990087938267,
0.8285714285714286,0.7321428571428572,0.7321428571428572,0.7321428571428572,0.8433956916099773,0.5202959631789551,0.2714587235246374,0.8928571428571429,0.8928571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,"[[150, 18], [18, 24]]",0.5714285714285714,0.8928571428571429,18,0.11535175163771,raw1d,3,chb04,210,42,28850,1775.2,7,20,0.702030975532237,
0.8857142857142857,0.8181555780054841,0.8242647058823529,0.8125,0.9248866213151928,0.275579442682614,0.1583236444936572,0.9289940828402368,0.9345238095238096,0.7073170731707317,0.6904761904761905,0.6904761904761905,"[[157, 11], [13, 29]]",0.6904761904761905,0.9345238095238096,11,0.0704927371119339,spec2d,3,chb04,210,42,34546,576.5,2,20,0.695734802999963,
0.8285714285714286,0.7368054588497424,0.7328860898138007,0.7410714285714286,0.8684807256235828,0.3925058786052198,0.2423185068647453,0.8922155688622755,0.8869047619047619,0.5813953488372093,0.5952380952380952,0.5952380952380952,"[[149, 19], [17, 25]]",0.5952380952380952,0.8869047619047619,19,0.1217601822842495,raw1d_wide,3,chb04,210,42,103712,3990.1,4,20,0.7367163293559233,
