acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.9166666666666666,0.9050332383665717,0.9107830551989731,0.8999999999999999,0.95625,0.9382716049382716,0.95,0.8717948717948718,0.85,0.85,"[[38, 2], [3, 17]]",early,1,4,97617,14.555920799997693,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",score,1,4,59044,0.08822620000137249,0.55
0.95,0.9444272923741897,0.9395604395604396,0.95,0.995,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",logvar,1,4,2,0.02299450000282377,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",shallow,1,4,14,0.022011000000929926,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",raw1d,2,0,26946,25.59555040000123,
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9974999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",spec2d,2,0,32098,7.252626000001328,
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",raw1d_wide,2,0,99666,66.0702020999961,
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.9974999999999999,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",spec2d_wide,2,0,97646,14.846809599999688,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",late,2,0,98416,36.2029967999988,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",gated,2,0,98569,34.14576519999537,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",attention,2,0,98415,39.46049969999876,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,0.99625,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",early,2,0,97617,18.302423000001,
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9974999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",score,2,0,59044,0.0874896000023,0.0
0.9333333333333333,0.9267399267399268,0.9186602870813397,0.9375,0.9850000000000001,0.9487179487179487,0.925,0.9047619047619048,0.95,0.95,"[[37, 3], [1, 19]]",logvar,2,0,2,0.015257400002155919,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.99625,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",shallow,2,0,14,0.019978299998911098,
